Company / Data,industries,location,followers,employees
IBM,"Information Technology and Services","Armonk, New York, NY","4777434","572958"
EY,"Accounting","London","2397367","263890"
Shell,"Oil & Energy","The Hague","2507574","129359"
GSK,"Pharmaceuticals","Brentford, Middlesex","1299896","92812"
Google,"Internet","Mountain View, CA","8482559","150513"
L'Oréal,"Cosmetics","Paris","1511154","69997"
The Coca-Cola Company,"Food & Beverages","Atlanta, GA","1788180","67056"
Oi S.A,"Telecommunications","Rio de Janeiro, Rio de Janeiro","142608","12985"
Michelin,"Automotive","Clermont-Ferrand, Auvergne","238382","29324"
Petrobras,"Oil & Energy","Rio de Janeiro, Rio de Janeiro","861122","58440"
Telefônica Brasil,"Telecommunications","São Paulo, SP","150626","16688"
Rede Globo,"Broadcast Media","Rio de Janeiro, Rio de Janeiro","345509","10250"
FGV - Fundação Getulio Vargas,,"Brazil","824741","6959"
Liq,"Information Technology and Services","São Paulo, SP","115617","14215"
Universidade Federal do Rio de Janeiro,,"Rio de Janeiro, RJ","166443","8715"
B2W Digital,"Internet","Rio de Janeiro, RJ","101476","4835"
Petróleo Ipiranga,"Oil & Energy","Rio de Janeiro, RJ","104702","2925"
Cencosud S.A.,"Retail","Santiago, Las Condes","341820","14955"
Universidade Federal Fluminense,,"Niterói, Rio de Janeiro","113305","4156"
Enel Brasil,"Oil & Energy","Niterói, Rio  de Janeiro","32328","1488"
Fiocruz,"Pharmaceuticals","Rio de Janeiro, Rio de Janeiro","16460","3846"
Globosat,"Broadcast Media","Rio de Janeiro, Rio de Janeiro","154191","1906"
UNIRIO,"Higher Education",,"1758","931"
Cervejaria Ambev,"Food & Beverages","São Paulo, SP","553430","22955"
Vale,"Mining & Metals","Rio de Janeiro, Rio de Janeiro","734642","43789"
Light,"Utilities","Rio de Janeiro, Rio de Janeiro","26134","2786"
Pontifícia Universidade Católica do Rio de Janeiro,,"rio de janeiro","92690","2448"
SulAmérica,"Insurance","Rio de Janeiro, Rio de Janeiro","92802","5611"
Companhia Siderúrgica Nacional,"Mining & Metals","São Paulo, SP","126179","6657"
Itaú Unibanco,"Banking","São Paulo, São Paulo","660937","43785"
TIM Brasil,"Telecommunications","Rio de Janeiro, Rio de Janeiro","195719","10965"
Ibmec,,"Rio de Janeiro, Rio de Janeiro","111918","991"
Rede D'Or São Luiz,"Health, Wellness and Fitness","Rio de Janeiro","67860","7904"
Universidade do Estado do Rio de Janeiro,,"Rio de Janeiro, Rio de Janeiro","74829","4735"
BTG Pactual,"Financial Services","São Paulo, SP","110737","2614"
OAB/RJ,"Law Enforcement",,"7421","935"
M. Dias Branco,"Food Production","Eusébio, Ceará","77516","3258"
Universidade Federal Fluminense,"Government Relations",,"6879","828"
Marinha do Brasil,"Military",,"22051","16387"
Ilumno,"Information Technology and Services","Miami, Florida","12049","692"
Prefeitura da Cidade do Rio de Janeiro,"Mental Health Care",,"7424","7198"
MAN Latin America,"Automotive","Resende, Rio de Janeiro","27370","1258"
Universidade Veiga de Almeida,,"Rio de Janeiro","70278","1348"
Estácio,,"Território Nacional, Território Nacional","493001","11124"
Via Varejo SA,"Retail","São Caetano do Sul, São Paulo","277908","22432"
Stone Pagamentos,"Information Technology and Services","São Paulo, SP","32057","2312"
Federal University of the State of Rio de Janeiro,,"Rio de Janeiro, Rio de Janeiro","11002","530"
